post,gemma4:e2b,llama3.1:8b,author,topic,words,gap
s11|r1|cooking|llama3.1:8b,1.0,0.962,llama3.1:8b,cooking,76,-0.038
s11|r1|farming|gemma4:e2b,1.0,1.0,gemma4:e2b,farming,92,0.0
s11|r1|farming|llama3.1:8b,0.268,1.0,llama3.1:8b,farming,92,0.732
s11|r1|personal_finance|gemma4:e2b,1.0,1.0,gemma4:e2b,personal_finance,98,0.0
s11|r1|personal_finance|llama3.1:8b,0.611,0.972,llama3.1:8b,personal_finance,66,0.361
s11|r1|tech|gemma4:e2b,0.903,0.694,gemma4:e2b,tech,87,-0.208
s11|r1|tech|llama3.1:8b,0.861,0.889,llama3.1:8b,tech,82,0.028
s11|r2|cars|gemma4:e2b,0.773,0.788,gemma4:e2b,cars,83,0.015
s11|r2|cars|llama3.1:8b,0.53,0.955,llama3.1:8b,cars,78,0.424
s11|r2|cooking|gemma4:e2b,0.532,0.949,gemma4:e2b,cooking,82,0.418
s11|r2|cooking|llama3.1:8b,0.544,0.949,llama3.1:8b,cooking,76,0.405
s11|r2|farming|gemma4:e2b,0.014,0.887,gemma4:e2b,farming,78,0.873
s11|r2|farming|llama3.1:8b,0.296,0.93,llama3.1:8b,farming,68,0.634
s11|r2|personal_finance|gemma4:e2b,1.0,0.958,gemma4:e2b,personal_finance,82,-0.042
s11|r2|personal_finance|llama3.1:8b,1.0,0.889,llama3.1:8b,personal_finance,71,-0.111
s11|r2|tech|gemma4:e2b,1.0,0.986,gemma4:e2b,tech,97,-0.014
s11|r2|tech|llama3.1:8b,1.0,0.972,llama3.1:8b,tech,91,-0.028
s11|r3|cars|gemma4:e2b,0.621,0.818,gemma4:e2b,cars,99,0.197
s11|r3|cars|llama3.1:8b,0.727,0.833,llama3.1:8b,cars,81,0.106
s11|r3|cooking|gemma4:e2b,0.987,0.962,gemma4:e2b,cooking,89,-0.025
s11|r3|cooking|llama3.1:8b,0.405,0.911,llama3.1:8b,cooking,65,0.506
s11|r3|farming|gemma4:e2b,1.0,0.986,gemma4:e2b,farming,97,-0.014
s11|r3|farming|llama3.1:8b,0.986,1.0,llama3.1:8b,farming,94,0.014
s11|r3|personal_finance|gemma4:e2b,0.986,0.986,gemma4:e2b,personal_finance,79,0.0
s11|r3|personal_finance|llama3.1:8b,1.0,0.972,llama3.1:8b,personal_finance,96,-0.028
s11|r3|tech|gemma4:e2b,1.0,0.917,gemma4:e2b,tech,92,-0.083
s11|r3|tech|llama3.1:8b,0.958,0.861,llama3.1:8b,tech,72,-0.097
s11|r4|cars|gemma4:e2b,0.848,0.894,gemma4:e2b,cars,101,0.045
s11|r4|cars|llama3.1:8b,0.561,0.909,llama3.1:8b,cars,71,0.348
s11|r4|cooking|gemma4:e2b,0.937,0.962,gemma4:e2b,cooking,98,0.025
s11|r4|cooking|llama3.1:8b,0.873,0.924,llama3.1:8b,cooking,86,0.051
s11|r4|farming|gemma4:e2b,0.296,0.93,gemma4:e2b,farming,81,0.634
s11|r4|farming|llama3.1:8b,0.831,0.845,llama3.1:8b,farming,88,0.014
s11|r4|personal_finance|gemma4:e2b,0.833,0.917,gemma4:e2b,personal_finance,90,0.083
s11|r4|personal_finance|llama3.1:8b,0.931,0.847,llama3.1:8b,personal_finance,84,-0.083
s11|r4|tech|gemma4:e2b,0.833,0.889,gemma4:e2b,tech,98,0.056
s11|r4|tech|llama3.1:8b,0.639,0.931,llama3.1:8b,tech,84,0.292
s12|r0|cars|gemma4:e2b,0.197,0.939,gemma4:e2b,cars,71,0.742
s12|r0|cars|llama3.1:8b,1.0,0.985,llama3.1:8b,cars,94,-0.015
s12|r0|cooking|gemma4:e2b,0.494,0.962,gemma4:e2b,cooking,80,0.468
s12|r0|cooking|llama3.1:8b,0.582,0.962,llama3.1:8b,cooking,67,0.38
s12|r0|farming|gemma4:e2b,0.845,0.859,gemma4:e2b,farming,87,0.014
s12|r0|farming|llama3.1:8b,0.69,0.944,llama3.1:8b,farming,75,0.254
s12|r0|personal_finance|gemma4:e2b,0.958,0.903,gemma4:e2b,personal_finance,94,-0.056
s12|r0|personal_finance|llama3.1:8b,0.972,0.847,llama3.1:8b,personal_finance,90,-0.125
s12|r0|tech|gemma4:e2b,0.875,0.958,gemma4:e2b,tech,108,0.083
s12|r0|tech|llama3.1:8b,1.0,0.903,llama3.1:8b,tech,85,-0.097
s12|r1|cars|gemma4:e2b,0.364,0.848,gemma4:e2b,cars,82,0.485
s12|r1|cars|llama3.1:8b,0.258,0.712,llama3.1:8b,cars,69,0.455
s12|r1|cooking|gemma4:e2b,1.0,0.962,gemma4:e2b,cooking,87,-0.038
s12|r1|cooking|llama3.1:8b,0.962,0.975,llama3.1:8b,cooking,80,0.013
s12|r1|farming|gemma4:e2b,1.0,0.972,gemma4:e2b,farming,84,-0.028
s12|r1|farming|llama3.1:8b,1.0,0.986,llama3.1:8b,farming,89,-0.014
s12|r1|personal_finance|gemma4:e2b,0.972,0.889,gemma4:e2b,personal_finance,79,-0.083
s12|r1|personal_finance|llama3.1:8b,0.958,0.958,llama3.1:8b,personal_finance,88,0.0
s12|r1|tech|gemma4:e2b,0.764,0.875,gemma4:e2b,tech,78,0.111
s12|r1|tech|llama3.1:8b,0.361,0.903,llama3.1:8b,tech,80,0.542
s12|r2|cars|gemma4:e2b,0.742,0.773,gemma4:e2b,cars,83,0.03
s12|r2|cars|llama3.1:8b,0.273,0.97,llama3.1:8b,cars,92,0.697
s12|r2|cooking|gemma4:e2b,0.987,0.975,gemma4:e2b,cooking,93,-0.013
s12|r2|cooking|llama3.1:8b,0.557,0.962,llama3.1:8b,cooking,77,0.405
s12|r2|farming|gemma4:e2b,0.958,0.901,gemma4:e2b,farming,88,-0.056
s12|r2|farming|llama3.1:8b,1.0,0.986,llama3.1:8b,farming,78,-0.014
s12|r2|personal_finance|gemma4:e2b,1.0,0.931,gemma4:e2b,personal_finance,85,-0.069
s12|r2|personal_finance|llama3.1:8b,0.986,0.972,llama3.1:8b,personal_finance,61,-0.014
s12|r2|tech|gemma4:e2b,0.444,0.806,gemma4:e2b,tech,85,0.361
s12|r2|tech|llama3.1:8b,0.931,0.806,llama3.1:8b,tech,90,-0.125
s12|r3|cars|gemma4:e2b,0.515,0.864,gemma4:e2b,cars,92,0.348
s12|r3|cars|llama3.1:8b,0.818,0.939,llama3.1:8b,cars,78,0.121
s12|r3|cooking|gemma4:e2b,0.835,0.81,gemma4:e2b,cooking,84,-0.025
s12|r3|cooking|llama3.1:8b,0.962,0.924,llama3.1:8b,cooking,76,-0.038
s12|r3|farming|gemma4:e2b,0.845,0.958,gemma4:e2b,farming,103,0.113
s12|r3|farming|llama3.1:8b,0.986,0.986,llama3.1:8b,farming,83,0.0
s12|r3|personal_finance|gemma4:e2b,1.0,0.889,gemma4:e2b,personal_finance,95,-0.111
s12|r3|personal_finance|llama3.1:8b,1.0,1.0,llama3.1:8b,personal_finance,97,0.0
s12|r3|tech|gemma4:e2b,0.944,0.917,gemma4:e2b,tech,84,-0.028
s12|r3|tech|llama3.1:8b,1.0,1.0,llama3.1:8b,tech,65,0.0
s12|r4|cars|gemma4:e2b,0.848,0.924,gemma4:e2b,cars,79,0.076
s12|r4|cars|llama3.1:8b,1.0,0.864,llama3.1:8b,cars,75,-0.136
s12|r4|cooking|gemma4:e2b,0.608,0.873,gemma4:e2b,cooking,91,0.266
s12|r4|cooking|llama3.1:8b,0.848,0.975,llama3.1:8b,cooking,100,0.127
s12|r4|farming|gemma4:e2b,0.901,0.93,gemma4:e2b,farming,91,0.028
s12|r4|farming|llama3.1:8b,0.085,1.0,llama3.1:8b,farming,69,0.915
s12|r4|personal_finance|gemma4:e2b,1.0,0.903,gemma4:e2b,personal_finance,93,-0.097
s12|r4|personal_finance|llama3.1:8b,1.0,0.931,llama3.1:8b,personal_finance,72,-0.069
s12|r4|tech|gemma4:e2b,0.708,0.903,gemma4:e2b,tech,84,0.194
s12|r4|tech|llama3.1:8b,0.806,0.972,llama3.1:8b,tech,67,0.167
